date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-05-01 00:00:00,14,10,0.0,13.6,1,1,89,09:36 PM,05:47 AM,04:36 AM,08:07 PM,11,10,12,10,46,100,94,0.0,1004,12,9,130,22
2018-05-01 03:00:00,14,10,0.0,13.6,1,1,89,09:36 PM,05:47 AM,04:36 AM,08:07 PM,12,10,12,10,38,74,98,0.0,1003,12,9,177,18
2018-05-01 06:00:00,14,10,0.0,13.6,1,1,89,09:36 PM,05:47 AM,04:36 AM,08:07 PM,9,10,12,10,35,10,85,0.0,1005,11,10,255,17
2018-05-01 09:00:00,14,10,0.0,13.6,1,1,89,09:36 PM,05:47 AM,04:36 AM,08:07 PM,6,12,13,12,30,4,64,0.0,1008,13,10,253,14
2018-05-01 12:00:00,14,10,0.0,13.6,1,1,89,09:36 PM,05:47 AM,04:36 AM,08:07 PM,5,13,14,13,26,69,53,0.0,1010,14,10,285,13
2018-05-01 15:00:00,14,10,0.0,13.6,1,1,89,09:36 PM,05:47 AM,04:36 AM,08:07 PM,4,13,14,13,18,9,53,0.0,1010,14,10,16,9
2018-05-01 18:00:00,14,10,0.0,13.6,1,1,89,09:36 PM,05:47 AM,04:36 AM,08:07 PM,5,10,11,10,23,46,65,0.0,1010,11,10,53,11
2018-05-01 21:00:00,14,10,0.0,13.6,1,1,89,09:36 PM,05:47 AM,04:36 AM,08:07 PM,4,8,10,8,29,29,68,0.0,1010,10,10,98,14
2018-05-02 00:00:00,11,7,0.0,14.5,1,1,82,10:43 PM,06:13 AM,04:34 AM,08:09 PM,4,9,11,9,41,46,64,0.0,1011,11,10,162,19
2018-05-02 03:00:00,11,7,0.0,14.5,1,1,82,10:43 PM,06:13 AM,04:34 AM,08:09 PM,6,5,8,5,39,24,87,0.7,1012,8,9,279,19
2018-05-02 06:00:00,11,7,0.0,14.5,1,1,82,10:43 PM,06:13 AM,04:34 AM,08:09 PM,4,6,9,6,27,4,71,0.0,1014,9,10,255,15
2018-05-02 09:00:00,11,7,0.0,14.5,1,1,82,10:43 PM,06:13 AM,04:34 AM,08:09 PM,4,8,10,8,32,7,64,0.0,1016,10,10,255,17
2018-05-02 12:00:00,11,7,0.0,14.5,1,1,82,10:43 PM,06:13 AM,04:34 AM,08:09 PM,4,9,11,9,27,8,60,0.0,1018,11,10,269,14
2018-05-02 15:00:00,11,7,0.0,14.5,1,1,82,10:43 PM,06:13 AM,04:34 AM,08:09 PM,4,10,11,10,15,10,62,0.0,1018,11,10,272,7
2018-05-02 18:00:00,11,7,0.0,14.5,1,1,82,10:43 PM,06:13 AM,04:34 AM,08:09 PM,4,9,9,9,3,10,75,0.0,1019,8,10,317,1
2018-05-02 21:00:00,11,7,0.0,14.5,1,1,82,10:43 PM,06:13 AM,04:34 AM,08:09 PM,4,7,7,7,5,7,81,0.0,1020,7,10,243,2
